TYPE,ADRESSE,ARRONDISSEMENT,HORAIRE,geo_shape,geo
SANISETTE,SQUARE EMILE COHL,PARIS 12EME ARRONDISSEMENT,6 h - 22 h,"{""coordinates"": [[2.4098957524618263, 48.841999206263914]], ""type"": ""MultiPoint""}","48.841999206263914, 2.4098957524618263"
SANISETTE,face au 129 RUE DE LA GLACIERE,PARIS 13EME ARRONDISSEMENT,6 h - 22 h,"{""coordinates"": [[2.341806493177046, 48.82669070746706]], ""type"": ""MultiPoint""}","48.82669070746706, 2.341806493177046"
SANISETTE,RUE CLISSON,PARIS 13EME ARRONDISSEMENT,24 h / 24,"{""coordinates"": [[2.365301479366637, 48.8293762280325]], ""type"": ""MultiPoint""}","48.8293762280325, 2.365301479366637"
SANISETTE,151  BOULEVARD VINCENT AURIOL,PARIS 13EME ARRONDISSEMENT,6 h - 22 h,"{""coordinates"": [[2.3615805510960532, 48.83271352296701]], ""type"": ""MultiPoint""}","48.83271352296701, 2.3615805510960532"
SANISETTE,46  RUE CHARLES MOUREU,PARIS 13EME ARRONDISSEMENT,6 h - 22 h,"{""coordinates"": [[2.360778312327747, 48.82908214644303]], ""type"": ""MultiPoint""}","48.82908214644303, 2.360778312327747"
SANISETTE,,PARIS 18EME ARRONDISSEMENT,6 h - 22 h,"{""coordinates"": [[2.343927619344526, 48.900789407781595]], ""type"": ""MultiPoint""}","48.900789407781595, 2.343927619344526"
TOILETTES,PARC MONTSOURIS,PARIS 14EME ARRONDISSEMENT,Voir fiche équipement,"{""coordinates"": [[2.3398489381239456, 48.8241625789515]], ""type"": ""MultiPoint""}","48.8241625789515, 2.3398489381239456"
WC PUBLICS PERMANENTS,Parc Rives de Seine,PARIS 7EME ARRONDISSEMENT,,"{""coordinates"": [[2.3195679829481675, 48.862608094082944]], ""type"": ""MultiPoint""}","48.862608094082944, 2.3195679829481675"
LAVATORY,Avenue des Champs-Elysées,PARIS 8EME ARRONDISSEMENT,,"{""coordinates"": [[2.3170898782796265, 48.86726257414111]], ""type"": ""MultiPoint""}","48.86726257414111, 2.3170898782796265"
SANISETTE,face au 6 RUE DESNOUETTES,PARIS 15EME ARRONDISSEMENT,24 h / 24,"{""coordinates"": [[2.293417776948326, 48.83604524670519]], ""type"": ""MultiPoint""}","48.83604524670519, 2.293417776948326"
SANISETTE,AVENUE PAUL DOUMER,PARIS 16EME ARRONDISSEMENT,24 h / 24,"{""coordinates"": [[2.2863820335704217, 48.862157963392185]], ""type"": ""MultiPoint""}","48.862157963392185, 2.2863820335704217"
SANISETTE,96 ter RUE LEMERCIER,PARIS 17EME ARRONDISSEMENT,6 h - 22 h,"{""coordinates"": [[2.318866697645487, 48.88942282181049]], ""type"": ""MultiPoint""}","48.88942282181049, 2.318866697645487"
SANISETTE,face au 118 BOULEVARD DE CLICHY,PARIS 18EME ARRONDISSEMENT,24 h / 24,"{""coordinates"": [[2.33027499744139, 48.8843823956645]], ""type"": ""MultiPoint""}","48.8843823956645, 2.33027499744139"
SANISETTE,84 BOULEVARD VOLTAIRE,PARIS 11EME ARRONDISSEMENT,6 h - 22 h,"{""coordinates"": [[2.3745988298067227, 48.860576610879605]], ""type"": ""MultiPoint""}","48.860576610879605, 2.3745988298067227"
SANISETTE,92  RUE CURIAL,PARIS 19EME ARRONDISSEMENT,6 h - 22 h,"{""coordinates"": [[2.375661473541809, 48.89583453970984]], ""type"": ""MultiPoint""}","48.89583453970984, 2.375661473541809"
SANISETTE,RUE DE CRIMEE,PARIS 19EME ARRONDISSEMENT,6 h - 1 h,"{""coordinates"": [[2.3790339650916685, 48.88883561898793]], ""type"": ""MultiPoint""}","48.88883561898793, 2.3790339650916685"
SANISETTE,face au 375 RUE DES PYRENEES,PARIS 20EME ARRONDISSEMENT,6 h - 1 h,"{""coordinates"": [[2.3897517151089445, 48.873680185350956]], ""type"": ""MultiPoint""}","48.873680185350956, 2.3897517151089445"
SANISETTE,82  BOULEVARD DE SEBASTOPOL,PARIS 3EME ARRONDISSEMENT,6 h - 22 h,"{""coordinates"": [[2.352249091270841, 48.865503514024965]], ""type"": ""MultiPoint""}","48.865503514024965, 2.352249091270841"
SANISETTE,RUE ORTOLON,PARIS 5EME ARRONDISSEMENT,6 h - 22 h,"{""coordinates"": [[2.3505902463720862, 48.843194568802474]], ""type"": ""MultiPoint""}","48.843194568802474, 2.3505902463720862"
SANISETTE,186  BOULEVARD SAINT GERMAIN,PARIS 6EME ARRONDISSEMENT,24 h / 24,"{""coordinates"": [[2.330995211131674, 48.85442812721599]], ""type"": ""MultiPoint""}","48.85442812721599, 2.330995211131674"
