Type Objet,Commune,geo_shape,geo,Adresse
FONTNE_WALLACE,PARIS 19EME ARRONDISSEMENT,"{""coordinates"": [2.374910994247602, 48.88272658194177], ""type"": ""Point""}","48.88272658194177, 2.374910994247602",3F RUE LALLY TOLLENDAL
FONTNE_WALLACE,PARIS 18EME ARRONDISSEMENT,"{""coordinates"": [2.3382872713133707, 48.88446656395732], ""type"": ""Point""}","48.88446656395732, 2.3382872713133707",19F RUE DES ABBESSES
FONTNE_WALLACE,PARIS 16EME ARRONDISSEMENT,"{""coordinates"": [2.2732481226697403, 48.84740925478389], ""type"": ""Point""}","48.84740925478389, 2.2732481226697403",RUE MIRABEAU
FONTNE_WALLACE,PARIS 19EME ARRONDISSEMENT,"{""coordinates"": [2.380933569916215, 48.88539177794356], ""type"": ""Point""}","48.88539177794356, 2.380933569916215",106  RUE DE MEAUX
FONTNE_WALLACE,PARIS 5EME ARRONDISSEMENT,"{""coordinates"": [2.3404398035357645, 48.840178218351525], ""type"": ""Point""}","48.840178218351525, 2.3404398035357645",322  RUE SAINT JACQUES
BORNE_FONTAINE,PARIS 10EME ARRONDISSEMENT,"{""coordinates"": [2.3545409657267578, 48.87515860037955], ""type"": ""Point""}","48.87515860037955, 2.3545409657267578",5 RUE LEON SCHWARTZENBERG
BORNE_FONTAINE,PARIS 20EME ARRONDISSEMENT,"{""coordinates"": [2.4107697237905517, 48.8609302137161], ""type"": ""Point""}","48.8609302137161, 2.4107697237905517",RUE SERPOLLET
BORNE_FONTAINE,PARIS 20EME ARRONDISSEMENT,"{""coordinates"": [2.3818074250066634, 48.86840357208106], ""type"": ""Point""}","48.86840357208106, 2.3818074250066634",36  BOULEVARD DE BELLEVILLE
FONTAINE_2EN1,PARIS 12EME ARRONDISSEMENT,"{""coordinates"": [2.412155760908882, 48.844649735136095], ""type"": ""Point""}","48.844649735136095, 2.412155760908882",AVENUE LAMORICIERE
FONTAINE_ARCEAU,PARIS 14EME ARRONDISSEMENT,"{""coordinates"": [2.3044853077464094, 48.82673650221341], ""type"": ""Point""}","48.82673650221341, 2.3044853077464094",4  AVENUE DE LA PORTE DE VANVES
FONTAINE_ARCEAU,PARIS 18EME ARRONDISSEMENT,"{""coordinates"": [2.334565911253297, 48.8859547478285], ""type"": ""Point""}","48.8859547478285, 2.334565911253297",PLACE ANNE MARIE CARRIERE
